location_id,incident_type,count,av_duration_hours
0338f138dbe69b40983264904b9619c3,cash_drawer,0,
0338f138dbe69b40983264904b9619c3,coffee,0,
0338f138dbe69b40983264904b9619c3,frozen_drink,2,18.2
0338f138dbe69b40983264904b9619c3,pin_pad,1,0.82
0338f138dbe69b40983264904b9619c3,register,2,0.15
0338f138dbe69b40983264904b9619c3,soda_fountain,3,0.21
0338f138dbe69b40983264904b9619de,cash_drawer,0,
0338f138dbe69b40983264904b9619de,coffee,0,
0338f138dbe69b40983264904b9619de,frozen_drink,2,5.5249999999999995
0338f138dbe69b40983264904b9619de,pin_pad,0,
0338f138dbe69b40983264904b9619de,register,1,1.87
0338f138dbe69b40983264904b9619de,soda_fountain,2,3.59
03418236dbd61740983264904b961935,cash_drawer,0,
03418236dbd61740983264904b961935,coffee,0,
03418236dbd61740983264904b961935,frozen_drink,1,4.58
03418236dbd61740983264904b961935,pin_pad,0,
03418236dbd61740983264904b961935,register,0,
03418236dbd61740983264904b961935,soda_fountain,0,
03477970dbe69b40983264904b961980,cash_drawer,0,
03477970dbe69b40983264904b961980,coffee,0,
03477970dbe69b40983264904b961980,frozen_drink,1,48
03477970dbe69b40983264904b961980,pin_pad,1,8.38
03477970dbe69b40983264904b961980,register,0,
03477970dbe69b40983264904b961980,soda_fountain,3,7.056666666666666
03483d38dbe69b40983264904b961902,cash_drawer,0,
03483d38dbe69b40983264904b961902,coffee,1,
03483d38dbe69b40983264904b961902,frozen_drink,6,76.84666666666665
03483d38dbe69b40983264904b961902,pin_pad,0,
03483d38dbe69b40983264904b961902,register,4,38.14666666666667
03483d38dbe69b40983264904b961902,soda_fountain,0,
0358f178dbe69b40983264904b961945,cash_drawer,0,
0358f178dbe69b40983264904b961945,coffee,0,
0358f178dbe69b40983264904b961945,frozen_drink,0,
0358f178dbe69b40983264904b961945,pin_pad,0,
0358f178dbe69b40983264904b961945,register,1,0.6
0358f178dbe69b40983264904b961945,soda_fountain,0,
0358f178dbe69b40983264904b9619a2,cash_drawer,0,
0358f178dbe69b40983264904b9619a2,coffee,0,
0358f178dbe69b40983264904b9619a2,frozen_drink,0,
0358f178dbe69b40983264904b9619a2,pin_pad,0,
0358f178dbe69b40983264904b9619a2,register,2,0.6
0358f178dbe69b40983264904b9619a2,soda_fountain,0,
03673db0dbe69b40983264904b961980,cash_drawer,0,
03673db0dbe69b40983264904b961980,coffee,0,
03673db0dbe69b40983264904b961980,frozen_drink,3,2.4
03673db0dbe69b40983264904b961980,pin_pad,2,93.5
03673db0dbe69b40983264904b961980,register,1,13.07
03673db0dbe69b40983264904b961980,soda_fountain,1,0.01
03708232dbd61740983264904b9619e5,cash_drawer,0,
03708232dbd61740983264904b9619e5,coffee,1,4.77
03708232dbd61740983264904b9619e5,frozen_drink,0,
03708232dbd61740983264904b9619e5,pin_pad,0,
03708232dbd61740983264904b9619e5,register,0,
03708232dbd61740983264904b9619e5,soda_fountain,1,27.96
037871b8dbe69b40983264904b9619d2,cash_drawer,0,
037871b8dbe69b40983264904b9619d2,coffee,0,
037871b8dbe69b40983264904b9619d2,frozen_drink,0,
037871b8dbe69b40983264904b9619d2,pin_pad,1,90.9
037871b8dbe69b40983264904b9619d2,register,0,
037871b8dbe69b40983264904b9619d2,soda_fountain,1,23.35
03818276dbd61740983264904b961911,cash_drawer,0,
03818276dbd61740983264904b961911,coffee,1,
03818276dbd61740983264904b961911,frozen_drink,0,
03818276dbd61740983264904b961911,pin_pad,1,2.55
03818276dbd61740983264904b961911,register,0,
03818276dbd61740983264904b961911,soda_fountain,0,
